                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7953,                 3.0298,                 1.2786,                0.85199,                0.74735,                0.84279,                0.44357,                0.95799,                  2.181,                0.70438,              0.0033325,              0.0033325,              0.0033325
                      2,                 1.5818,                 1.1535,                 1.1695,                0.89276,                0.83457,                 0.9054,                0.51628,                0.88404,                 2.0971,                0.67951,              0.0063359,              0.0063359,              0.0063359
                      3,                 1.6087,                 1.1089,                 1.1962,                0.85675,                0.82735,                0.88637,                0.51487,                 0.9067,                 3.2441,                0.69493,              0.0090093,              0.0090093,              0.0090093
                      4,                 1.5381,                 1.0145,                 1.1725,                0.90161,                 0.8481,                0.92445,                 0.5612,                0.82255,                 2.3218,                0.65045,               0.008515,               0.008515,               0.008515
                      5,                 1.4146,                0.87181,                 1.1131,                0.92315,                0.85491,                  0.935,                0.58697,                0.79969,                 2.1973,                 0.6338,                0.00802,                0.00802,                0.00802
                      6,                 1.3348,                0.79739,                 1.0748,                 0.9335,                 0.8606,                0.94168,                0.59713,                0.79403,                 2.4946,                0.62866,               0.007525,               0.007525,               0.007525
                      7,                 1.2735,                0.74255,                 1.0499,                0.92192,                0.87027,                0.94156,                 0.6024,                0.78241,                 2.0782,                0.62305,                0.00703,                0.00703,                0.00703
                      8,                 1.2307,                0.70509,                 1.0318,                0.92239,                0.86747,                0.94156,                0.60944,                0.76782,                 2.2602,                0.61669,               0.006535,               0.006535,               0.006535
                      9,                 1.2008,                0.67891,                 1.0186,                0.92817,                0.87335,                 0.9463,                0.61294,                0.76927,                  2.099,                0.61847,                0.00604,                0.00604,                0.00604
                     10,                 1.1604,                 0.6475,                 1.0027,                0.94295,                0.87071,                0.94788,                0.61528,                0.76718,                 1.9856,                0.61274,               0.005545,               0.005545,               0.005545
                     11,                 1.1409,                0.60769,                 1.0133,                0.93014,                0.88069,                0.94879,                0.61654,                0.76795,                 2.2022,                 0.6136,                0.00505,                0.00505,                0.00505
                     12,                 1.1028,                0.57963,                0.99759,                0.92728,                0.87098,                0.94479,                 0.6138,                0.77093,                 2.2807,                 0.6165,               0.004555,               0.004555,               0.004555
                     13,                 1.0751,                0.55722,                0.98435,                0.92839,                0.87353,                0.94501,                0.61312,                0.77108,                  2.295,                0.61712,                0.00406,                0.00406,                0.00406
                     14,                 1.0378,                0.53444,                0.97306,                0.92891,                0.86869,                0.94388,                0.61564,                0.76977,                 2.2645,                0.61682,               0.003565,               0.003565,               0.003565
                     15,                 1.0067,                 0.5144,                 0.9618,                0.93255,                 0.8679,                0.94368,                0.61631,                0.76988,                 2.2288,                0.61669,                0.00307,                0.00307,                0.00307
                     16,                 0.9755,                 0.4917,                0.94863,                0.93153,                 0.8689,                0.94338,                0.61687,                 0.7706,                 2.1985,                0.61674,               0.002575,               0.002575,               0.002575
                     17,                0.94059,                0.47239,                0.93579,                0.93342,                0.86729,                0.94354,                0.61705,                0.77143,                  2.132,                0.61676,                0.00208,                0.00208,                0.00208
                     18,                0.90594,                0.45012,                0.92494,                0.93315,                0.86875,                0.94365,                0.61808,                0.77177,                 2.0787,                0.61675,               0.001585,               0.001585,               0.001585
                     19,                0.87265,                0.43277,                0.91505,                  0.935,                0.86585,                0.94335,                0.61851,                0.77187,                 2.0387,                0.61667,                0.00109,                0.00109,                0.00109
                     20,                0.84141,                0.41088,                0.90412,                0.93691,                0.86298,                0.94356,                0.61984,                0.77208,                  1.992,                0.61682,               0.000595,               0.000595,               0.000595
