                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01158,                  1.268,                 1.2963,                0.93931,                0.90055,                0.95581,                0.55404,                0.00604,                0.96314,                0.59653,              0.0033328,              0.0033328,              0.0033328
                      2,                0.01045,                0.88601,                 1.1906,                0.95639,                0.91607,                0.96734,                0.56774,                 0.0059,                0.90922,                0.60513,              0.0066061,              0.0066061,              0.0066061
                      3,                0.01081,                0.95339,                 1.2423,                0.94742,                0.93169,                0.96783,                0.58327,                0.00578,                 1.5108,                 0.6151,              0.0098195,              0.0098195,              0.0098195
                      4,                0.01038,                0.88471,                 1.2286,                0.96068,                0.95577,                0.97956,                0.59875,                0.00572,                0.94149,                0.60932,                0.00973,                0.00973,                0.00973
                      5,                0.00952,                0.77428,                 1.1664,                0.96707,                0.96316,                0.98469,                0.62754,                 0.0054,                0.69091,                0.59149,                0.00964,                0.00964,                0.00964
                      6,                0.00893,                0.70745,                 1.1269,                0.97247,                0.96617,                0.98672,                0.65351,                0.00508,                0.61756,                0.57245,                0.00955,                0.00955,                0.00955
                      7,                 0.0086,                0.66877,                 1.0997,                0.97309,                0.97275,                0.98977,                0.67377,                0.00488,                 0.5556,                0.56068,                0.00946,                0.00946,                0.00946
                      8,                0.00831,                0.64205,                  1.084,                0.97547,                0.97207,                0.99056,                0.68787,                0.00472,                0.54972,                0.55263,                0.00937,                0.00937,                0.00937
                      9,                0.00813,                0.62229,                 1.0726,                0.97545,                0.97473,                0.99116,                0.69246,                0.00466,                 0.5324,                0.54921,                0.00928,                0.00928,                0.00928
                     10,                0.00797,                0.60718,                 1.0578,                0.97593,                 0.9762,                0.99154,                 0.6972,                 0.0046,                0.52202,                0.54583,                0.00919,                0.00919,                0.00919
                     11,                0.00784,                0.59556,                 1.0535,                0.97674,                0.97707,                0.99187,                0.70086,                0.00456,                0.50765,                0.54387,                 0.0091,                 0.0091,                 0.0091
                     12,                0.00773,                0.58548,                 1.0429,                0.97688,                 0.9774,                0.99205,                0.70275,                0.00453,                 0.4961,                 0.5423,                0.00901,                0.00901,                0.00901
                     13,                0.00768,                0.58048,                 1.0441,                0.97718,                0.97822,                 0.9922,                0.70515,                0.00452,                0.48491,                0.54134,                0.00892,                0.00892,                0.00892
                     14,                0.00762,                0.57244,                 1.0389,                0.97796,                0.97861,                0.99236,                0.70628,                 0.0045,                0.47087,                0.54042,                0.00883,                0.00883,                0.00883
                     15,                0.00758,                 0.5695,                  1.035,                 0.9763,                0.98103,                0.99253,                0.70945,                0.00448,                0.45769,                0.53911,                0.00874,                0.00874,                0.00874
                     16,                0.00744,                0.55896,                 1.0283,                 0.9768,                 0.9818,                0.99272,                0.71101,                0.00446,                0.45093,                0.53795,                0.00865,                0.00865,                0.00865
                     17,                0.00745,                0.55788,                 1.0281,                0.97762,                0.98232,                0.99289,                0.71499,                0.00442,                0.44323,                0.53609,                0.00856,                0.00856,                0.00856
                     18,                0.00739,                0.55108,                 1.0246,                0.97838,                 0.9824,                0.99299,                 0.7193,                0.00437,                0.43434,                0.53376,                0.00847,                0.00847,                0.00847
                     19,                0.00732,                0.54642,                 1.0197,                0.97872,                0.98297,                0.99305,                0.72129,                0.00435,                0.42935,                0.53269,                0.00838,                0.00838,                0.00838
                     20,                0.00729,                0.54399,                 1.0197,                0.97942,                 0.9827,                0.99314,                0.72575,                 0.0043,                0.42495,                0.53049,                0.00829,                0.00829,                0.00829
                     21,                0.00724,                0.53785,                 1.0142,                0.97981,                0.98269,                0.99317,                 0.7295,                0.00425,                0.41846,                0.52853,                 0.0082,                 0.0082,                 0.0082
                     22,                0.00719,                0.53566,                 1.0133,                0.98024,                0.98269,                0.99325,                 0.7321,                0.00422,                0.40879,                0.52716,                0.00811,                0.00811,                0.00811
                     23,                0.00716,                0.53208,                 1.0111,                0.98092,                0.98312,                0.99331,                0.73372,                0.00419,                0.40341,                0.52607,                0.00802,                0.00802,                0.00802
                     24,                0.00713,                0.53039,                   1.01,                 0.9821,                0.98243,                0.99337,                0.73654,                0.00415,                0.39277,                0.52438,                0.00793,                0.00793,                0.00793
                     25,                 0.0071,                 0.5257,                 1.0082,                0.98195,                0.98255,                 0.9934,                0.73846,                0.00413,                0.38787,                0.52345,                0.00784,                0.00784,                0.00784
                     26,                0.00709,                0.52272,                 1.0071,                0.98146,                0.98447,                0.99346,                 0.7396,                0.00411,                0.38061,                0.52281,                0.00775,                0.00775,                0.00775
                     27,                0.00708,                0.52211,                 1.0057,                 0.9827,                0.98448,                0.99346,                0.74199,                0.00407,                0.37237,                0.52138,                0.00766,                0.00766,                0.00766
                     28,                  0.007,                 0.5206,                 1.0043,                 0.9831,                0.98468,                0.99348,                0.74416,                0.00405,                0.36671,                0.52045,                0.00757,                0.00757,                0.00757
                     29,                0.00699,                0.51801,                      1,                0.98345,                0.98515,                0.99351,                0.74574,                0.00403,                0.36534,                0.51941,                0.00748,                0.00748,                0.00748
                     30,                0.00699,                0.51603,                 1.0021,                 0.9836,                0.98544,                0.99357,                0.74903,                0.00399,                0.35838,                0.51812,                0.00739,                0.00739,                0.00739
                     31,                0.00695,                0.51413,                  1.001,                0.98453,                 0.9851,                0.99362,                0.75155,                0.00396,                0.34924,                0.51706,                 0.0073,                 0.0073,                 0.0073
                     32,                0.00696,                0.51441,                0.99917,                0.98487,                 0.9851,                0.99364,                0.75374,                0.00393,                0.34754,                0.51613,                0.00721,                0.00721,                0.00721
                     33,                0.00691,                0.51025,                0.99657,                0.98473,                0.98575,                0.99366,                0.75579,                0.00391,                0.34587,                0.51508,                0.00712,                0.00712,                0.00712
                     34,                0.00687,                 0.5094,                0.99522,                0.98483,                0.98545,                0.99367,                0.75804,                0.00389,                0.34467,                0.51445,                0.00703,                0.00703,                0.00703
                     35,                0.00684,                0.50489,                0.99368,                0.98482,                 0.9859,                0.99371,                0.75787,                0.00389,                0.34329,                0.51448,                0.00694,                0.00694,                0.00694
                     36,                0.00682,                0.50039,                0.99183,                 0.9844,                0.98588,                0.99377,                0.76002,                0.00386,                0.34125,                0.51341,                0.00685,                0.00685,                0.00685
                     37,                0.00684,                0.50482,                0.99471,                0.98472,                 0.9865,                0.99378,                0.76175,                0.00383,                0.33965,                0.51237,                0.00676,                0.00676,                0.00676
                     38,                0.00678,                0.49899,                 0.9897,                0.98526,                0.98587,                 0.9938,                0.76358,                0.00381,                0.34063,                0.51151,                0.00667,                0.00667,                0.00667
                     39,                0.00673,                 0.4969,                0.98716,                0.98559,                0.98597,                0.99383,                0.76467,                0.00379,                0.33976,                0.51077,                0.00658,                0.00658,                0.00658
