                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01144,                 1.3034,                 1.2736,                0.01217,                 1.6933,                 1.2487,                0.89428,                0.86807,                0.93679,                 0.4857,                0.00757,                 1.2969,                0.73108,                0.00767,                0.66728,                0.75705,              0.0033328,              0.0033328,              0.0033328
                      2,                0.01046,                0.90887,                 1.1729,                0.01151,                 1.0067,                 1.2005,                0.90911,                0.89823,                0.95338,                0.54546,                0.00688,                 1.3449,                0.70518,                0.00697,                 0.6843,                0.72639,              0.0063662,              0.0063662,              0.0063662
                      3,                0.01055,                0.92893,                 1.2096,                0.01168,                 1.0223,                 1.2308,                0.92704,                0.90931,                 0.9616,                0.57903,                0.00648,                 1.3628,                0.69852,                0.00658,                0.69495,                 0.7145,              0.0090995,              0.0090995,              0.0090995
                      4,                   0.01,                0.85321,                 1.1926,                0.01118,                0.91787,                 1.2109,                0.94991,                0.93877,                0.97586,                 0.6177,                0.00609,                 1.0101,                0.68041,                0.00617,                0.50644,                0.68603,                0.00865,                0.00865,                0.00865
                      5,                0.00915,                0.73946,                 1.1313,                0.01029,                0.77002,                 1.1491,                0.96056,                 0.9525,                0.98453,                0.64928,                0.00565,                 0.7515,                0.65607,                0.00575,                0.40582,                0.66248,                0.00865,                0.00865,                0.00865
                      6,                0.00858,                0.66877,                 1.0915,                0.00969,                0.68092,                 1.1086,                0.96333,                0.95904,                 0.9874,                0.68197,                0.00524,                0.62012,                0.63715,                0.00532,                0.35222,                 0.6402,                 0.0082,                 0.0082,                 0.0082
                      7,                0.00819,                0.62889,                 1.0642,                0.00923,                0.63361,                 1.0796,                0.96358,                0.96264,                 0.9888,                0.68803,                0.00522,                0.59336,                0.63445,                0.00528,                0.34197,                0.63739,                0.00775,                0.00775,                0.00775
                      8,                0.00788,                0.59691,                 1.0448,                 0.0089,                0.59073,                 1.0598,                0.96572,                0.96519,                0.98992,                0.69304,                0.00516,                0.57911,                0.62963,                0.00521,                0.32417,                0.63193,                 0.0073,                 0.0073,                 0.0073
                      9,                0.00764,                0.57406,                 1.0314,                0.00865,                0.56315,                 1.0427,                0.96607,                0.96843,                0.99057,                 0.6993,                0.00508,                 0.5445,                0.62633,                0.00513,                0.30644,                0.62751,                0.00685,                0.00685,                0.00685
                     10,                0.00746,                0.55856,                 1.0196,                0.00845,                0.54652,                 1.0317,                0.96698,                0.96917,                0.99108,                0.70635,                0.00497,                0.51774,                0.62141,                0.00503,                0.29726,                0.62262,                 0.0064,                 0.0064,                 0.0064
                     11,                0.00735,                0.52423,                 1.0292,                0.00809,                0.44444,                 1.0411,                0.96963,                0.96781,                0.99139,                0.71069,                0.00492,                0.50115,                 0.6186,                0.00496,                0.28995,                0.61954,                0.00595,                0.00595,                0.00595
                     12,                0.00712,                0.50499,                 1.0148,                0.00782,                0.42696,                 1.0253,                0.97104,                0.96753,                 0.9914,                0.71339,                0.00488,                0.48588,                0.61688,                0.00492,                0.28479,                0.61808,                 0.0055,                 0.0055,                 0.0055
                     13,                  0.007,                0.48875,                 1.0064,                0.00768,                0.40893,                 1.0168,                0.97266,                0.96749,                0.99153,                0.71646,                0.00483,                0.47008,                0.61481,                0.00488,                0.27776,                0.61606,                0.00505,                0.00505,                0.00505
                     14,                0.00682,                0.47635,                0.99352,                0.00751,                0.40274,                 1.0035,                0.97428,                0.96811,                 0.9918,                0.71925,                0.00479,                0.45944,                0.61292,                0.00485,                0.27261,                0.61415,                 0.0046,                 0.0046,                 0.0046
                     15,                0.00669,                0.46636,                0.98446,                0.00734,                0.38048,                0.98866,                 0.9743,                0.96986,                0.99204,                0.72175,                0.00476,                0.45011,                0.61126,                0.00481,                0.26793,                 0.6123,                0.00415,                0.00415,                0.00415
                     16,                0.00655,                 0.4489,                0.97329,                0.00719,                0.36725,                0.98074,                0.97537,                 0.9711,                0.99223,                0.72393,                0.00474,                0.43775,                0.60963,                0.00479,                0.26168,                0.61095,                 0.0037,                 0.0037,                 0.0037
                     17,                0.00635,                0.43535,                0.96425,                0.00697,                0.35255,                0.96917,                0.97683,                0.97422,                0.99265,                 0.7276,                0.00468,                0.42071,                0.60725,                0.00474,                0.25254,                0.60839,                0.00325,                0.00325,                0.00325
                     18,                0.00618,                0.42219,                0.95444,                0.00678,                0.33721,                0.95761,                 0.9783,                0.97423,                0.99295,                0.73056,                0.00465,                0.40501,                 0.6056,                 0.0047,                0.24555,                0.60649,                 0.0028,                 0.0028,                 0.0028
                     19,                0.00596,                 0.4049,                0.94096,                0.00656,                0.32424,                0.94602,                0.97978,                0.97407,                0.99315,                0.73317,                0.00461,                 0.3895,                0.60359,                0.00467,                0.23814,                 0.6045,                0.00235,                0.00235,                0.00235
                     20,                0.00577,                0.38955,                0.92974,                0.00633,                0.31771,                0.93239,                0.97845,                0.97692,                0.99333,                 0.7366,                0.00456,                0.37432,                0.60121,                0.00461,                 0.2317,                 0.6019,                 0.0019,                 0.0019,                 0.0019
