                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5778,                 1.3045,                 1.1365,                0.95127,                0.90587,                0.96041,                0.60429,                0.81477,                0.85644,                0.57036,              0.0033328,              0.0033328,              0.0033328
                      2,                 1.4224,                0.84669,                 1.0639,                0.95721,                0.92857,                0.97119,                0.63195,                0.76455,                0.85082,                0.56636,              0.0063362,              0.0063362,              0.0063362
                      3,                 1.4707,                0.89869,                 1.1009,                0.95592,                0.93556,                0.97225,                0.65561,                0.72774,                 1.4398,                0.56361,              0.0090095,              0.0090095,              0.0090095
                      4,                 1.4184,                0.84914,                 1.0916,                0.97112,                 0.9606,                0.98416,                0.69372,                0.67911,                0.80316,                 0.5497,               0.008515,               0.008515,               0.008515
                      5,                 1.2909,                0.73487,                 1.0388,                0.97262,                0.96757,                0.98712,                0.71347,                0.63926,                0.75613,                0.53428,                0.00802,                0.00802,                0.00802
                      6,                 1.2099,                0.67179,                 1.0061,                0.97382,                0.97003,                0.98926,                0.73414,                0.60537,                   0.69,                  0.524,               0.007525,               0.007525,               0.007525
                      7,                 1.1541,                0.62585,                0.98575,                0.97614,                0.97333,                0.99093,                0.74735,                0.58436,                0.61221,                0.51789,                0.00703,                0.00703,                0.00703
                      8,                  1.108,                0.59456,                0.97181,                0.97715,                0.97416,                 0.9913,                0.75552,                0.56917,                0.57764,                0.51372,               0.006535,               0.006535,               0.006535
                      9,                 1.0746,                0.57152,                0.95858,                0.97863,                 0.9757,                0.99182,                0.76287,                0.55841,                0.55225,                0.51069,                0.00604,                0.00604,                0.00604
                     10,                 1.0423,                0.54842,                0.94783,                0.97912,                0.97625,                0.99222,                0.76744,                 0.5502,                0.51883,                0.50809,               0.005545,               0.005545,               0.005545
                     11,                 1.0383,                0.52661,                0.95729,                0.97894,                 0.9777,                0.99246,                0.77223,                0.54221,                0.49992,                0.50624,                0.00505,                0.00505,                0.00505
                     12,                 1.0066,                0.50754,                0.94552,                0.97958,                0.97807,                0.99262,                0.77664,                0.53452,                0.48689,                0.50438,               0.004555,               0.004555,               0.004555
                     13,                0.97721,                0.48945,                0.93517,                0.98017,                0.97889,                0.99277,                0.78102,                0.52697,                 0.4735,                0.50247,                0.00406,                0.00406,                0.00406
                     14,                0.93695,                0.46563,                0.92315,                0.97967,                0.98059,                0.99291,                0.78528,                0.51945,                 0.4562,                0.50056,               0.003565,               0.003565,               0.003565
                     15,                0.90361,                0.44534,                0.91138,                0.98087,                  0.981,                0.99308,                0.79043,                0.51179,                 0.4367,                0.49874,                0.00307,                0.00307,                0.00307
                     16,                0.86884,                0.42587,                0.90123,                0.98105,                0.98229,                0.99324,                0.79477,                0.50385,                0.42027,                0.49683,               0.002575,               0.002575,               0.002575
                     17,                0.82734,                0.40162,                0.88884,                0.98079,                 0.9835,                 0.9934,                0.79962,                0.49615,                0.40696,                0.49495,                0.00208,                0.00208,                0.00208
                     18,                0.79147,                0.38116,                0.87849,                0.98174,                0.98396,                0.99359,                0.80494,                0.48789,                0.39378,                0.49303,               0.001585,               0.001585,               0.001585
                     19,                 0.7508,                0.35861,                0.86791,                0.98352,                0.98379,                0.99377,                0.81078,                0.47945,                   0.38,                0.49093,                0.00109,                0.00109,                0.00109
                     20,                0.71104,                0.33924,                0.86019,                0.98537,                0.98352,                0.99393,                0.81632,                0.47108,                0.36384,                0.48887,               0.000595,               0.000595,               0.000595
